"","Group","accuracy_cd_mean_100","accuracy_cd_mean_80","accuracy_cd_mean_60","accuracy_cd_mean_40","accuracy_cd_mean_20"
"1","P0",0.965735364978638,0.97535922857145,0.984596068676306,0.991907912419989,0.997785305019979
"2","P1",0.947730636331472,0.962742734141691,0.976081054266584,0.987099005198878,0.996561517037704
"3","P2",0.929015130528992,0.948636011753472,0.966011673185056,0.982543008856667,0.995184543904398
"4","P3",0.923523671792385,0.944234890621593,0.96254613776216,0.980364343506102,0.994561596013455
"5","P4",0.940916171554466,0.958799153184755,0.973076898937988,0.985473237733284,0.996200922947231
"6","P5",0.93148572379301,0.948584989496925,0.966713944361515,0.982959295573816,0.995176251044659
"7","P6",0.918784324904626,0.942586331518674,0.960301316463839,0.979138727665075,0.994430008707533
