"","X","ID","num_of_leaves","model","non_binary_prob","planted","remove_extinct","rescale_to_height","dupl_rate","loss_rate","hgt_rate","prohibit_extinction","replace_prob","LDT_Edges","Fitch_true_Edges","Fraction_of_Xenologs","Number_of_Species","Number_of_leaves_tgt","Number_of_leaves_ogt","T_ldt_false_positive","T_ldt_true_positive","T_ldt_false_negative","T_triple","T_ldt_triple","S_ldt_false_positive","S_ldt_true_positive","S_ldt_false_negative","S_triple","S_ldt_triple","Number_of_Nodes_ldt_100","Edges_rs_false_positive_100","Edges_rs_false_negative_100","Edges_rs_true_positive_100","Fitch_rs_Edges_100","Edges_cd_false_positive_100","Edges_cd_false_negative_100","Edges_cd_true_positive_100","Number_of_Nodes_ldt_80","Edges_rs_false_positive_80","Edges_rs_false_negative_80","Edges_rs_true_positive_80","Fitch_rs_Edges_80","Edges_cd_false_positive_80","Edges_cd_false_negative_80","Edges_cd_true_positive_80","Number_of_Nodes_ldt_60","Edges_rs_false_positive_60","Edges_rs_false_negative_60","Edges_rs_true_positive_60","Fitch_rs_Edges_60","Edges_cd_false_positive_60","Edges_cd_false_negative_60","Edges_cd_true_positive_60","Number_of_Nodes_ldt_40","Edges_rs_false_positive_40","Edges_rs_false_negative_40","Edges_rs_true_positive_40","Fitch_rs_Edges_40","Edges_cd_false_positive_40","Edges_cd_false_negative_40","Edges_cd_true_positive_40","Number_of_Nodes_ldt_20","Edges_rs_false_positive_20","Edges_rs_false_negative_20","Edges_rs_true_positive_20","Fitch_rs_Edges_20","Edges_cd_false_positive_20","Edges_cd_false_negative_20","Edges_cd_true_positive_20","Group","tn_cd_100","tn_cd_80","tn_cd_60","tn_cd_40","tn_cd_20","tn_rs_100","tn_rs_80","tn_rs_60","tn_rs_40","tn_rs_20","recall_cd_100","recall_cd_80","recall_cd_60","recall_cd_40","recall_cd_20","recall_rs_100","recall_rs_80","recall_rs_60","recall_rs_40","recall_rs_20","precision_cd_100","precision_cd_80","precision_cd_60","precision_cd_40","precision_cd_20","precision_rs_100","precision_rs_80","precision_rs_60","precision_rs_40","precision_rs_20","accuracy_cd_100","accuracy_cd_80","accuracy_cd_60","accuracy_cd_40","accuracy_cd_20","accuracy_rs_100","accuracy_rs_80","accuracy_rs_60","accuracy_rs_40","accuracy_rs_20"
"677",676,"P0_0676",47,"innovation",0.287340737912728,"True","False",1,0.25,0.25,0.25,"per_family",1,16,81,0.197530864197531,47,48,42,8147,526,0,8673,526,11465,57,0,11522,57,42,0,0,59,59,0,1,58,42,0,0,55,55,0,1,54,42,0,0,21,21,0,0,21,42,0,0,0,0,0,0,0,42,0,0,7,7,0,0,7,"P0",802,806,840,861,854,802,806,840,861,854,0.983050847457627,0.981818181818182,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,0.99883855981417,0.99883855981417,1,1,1,1,1,1,1,1
"678",677,"P0_0677",29,"innovation",0.45795919065532,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,29,7,6,19,0,0,19,0,3299,0,0,3299,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,"P0",15,15,15,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"679",678,"P0_0678",16,"innovation",0.196167837408827,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,16,22,21,1328,0,0,1328,0,558,0,0,558,0,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,"P0",210,210,210,210,210,210,210,210,210,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"680",679,"P0_0679",24,"innovation",0.119097448945651,"True","False",1,0.25,0.25,0.25,"per_family",1,1,24,0.0416666666666667,24,27,25,2248,23,0,2271,23,2002,0,0,2002,0,25,0,16,0,0,0,16,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,7,7,0,0,7,25,0,0,0,0,0,0,0,"P0",284,300,300,293,300,284,300,300,293,300,0,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0.946666666666667,1,1,1,1,0.946666666666667,1,1,1,1
"681",680,"P0_0680",19,"innovation",0.465488397213106,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,19,20,19,379,0,0,379,0,362,0,0,362,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,"P0",171,171,171,171,171,171,171,171,171,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"682",681,"P0_0681",12,"innovation",0.251551420618952,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,12,24,22,1532,0,0,1532,0,216,0,0,216,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,"P0",231,231,231,231,231,231,231,231,231,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"683",682,"P0_0682",36,"innovation",0.129085489558421,"True","False",1,0.25,0.25,0.25,"per_family",1,272,311,0.87459807073955,36,60,57,28781,468,0,29249,468,4499,2630,0,7129,2630,57,0,0,131,131,0,0,131,57,0,0,129,129,0,0,129,57,0,0,50,50,0,0,50,57,0,0,19,19,0,0,19,57,0,0,10,10,0,0,10,"P0",1465,1467,1546,1577,1586,1465,1467,1546,1577,1586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"684",683,"P0_0683",31,"innovation",0.410135974273096,"True","False",1,0.25,0.25,0.25,"per_family",1,102,402,0.253731343283582,31,40,34,4151,1707,0,5858,1707,3735,414,0,4149,414,34,7,31,107,114,0,59,79,34,6,31,95,101,0,49,77,34,3,23,63,66,3,26,60,34,0,5,37,37,0,16,26,34,1,8,4,5,1,8,4,"P0",423,435,472,519,548,416,429,472,519,548,0.572463768115942,0.611111111111111,0.697674418604651,0.619047619047619,0.333333333333333,0.77536231884058,0.753968253968254,0.732558139534884,0.880952380952381,0.333333333333333,1,1,0.952380952380952,1,0.8,0.93859649122807,0.940594059405941,0.954545454545455,1,0.8,0.894830659536542,0.912655971479501,0.948306595365419,0.971479500891266,0.983957219251337,0.932263814616756,0.934046345811052,0.953654188948307,0.991087344028521,0.983957219251337
"685",684,"P0_0684",43,"innovation",0.301081117011219,"True","False",1,0.25,0.25,0.25,"per_family",1,115,1073,0.1071761416589,43,68,63,34887,3751,0,38638,3751,10357,431,0,10788,431,63,0,22,503,503,40,442,83,63,32,320,72,104,32,322,70,63,0,180,0,0,0,180,0,63,22,99,18,40,22,99,18,63,8,24,3,11,8,24,3,"P0",1388,1529,1773,1814,1918,1428,1529,1773,1814,1918,0.158095238095238,0.178571428571429,0,0.153846153846154,0.111111111111111,0.958095238095238,0.183673469387755,0,0.153846153846154,0.111111111111111,0.67479674796748,0.686274509803922,NA,0.45,0.272727272727273,1,0.692307692307692,NA,0.45,0.272727272727273,0.753200204813108,0.818740399385561,0.907834101382488,0.938044034818228,0.983614951356887,0.98873527905786,0.819764464925755,0.907834101382488,0.938044034818228,0.983614951356887
"686",685,"P0_0685",45,"innovation",0.223529293630611,"True","False",1,0.25,0.25,0.25,"per_family",1,134,340,0.394117647058824,45,48,36,5226,1198,0,6424,1198,11428,1193,0,12621,1193,36,0,0,99,99,36,48,51,36,0,0,106,106,12,48,58,36,0,0,80,80,20,40,40,36,8,16,2,10,8,16,2,36,0,0,5,5,0,0,5,"P0",495,512,530,604,625,531,524,550,604,625,0.515151515151515,0.547169811320755,0.5,0.111111111111111,1,1,1,1,0.111111111111111,1,0.586206896551724,0.828571428571429,0.666666666666667,0.2,1,1,1,1,0.2,1,0.866666666666667,0.904761904761905,0.904761904761905,0.961904761904762,1,1,1,1,0.961904761904762,1
"687",686,"P0_0686",31,"innovation",0.344214765351809,"True","False",1,0.25,0.25,0.25,"per_family",1,1,32,0.03125,31,34,33,4316,31,0,4347,31,3385,0,0,3385,0,33,0,0,21,21,0,0,21,33,0,17,0,0,0,17,0,33,0,0,0,0,0,0,0,33,0,11,0,0,0,11,0,33,0,0,0,0,0,0,0,"P0",507,511,528,517,528,507,511,528,517,528,1,0,NA,0,NA,1,0,NA,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0.96780303030303,1,0.979166666666667,1,1,0.96780303030303,1,0.979166666666667,1
"688",687,"P0_0687",31,"innovation",0.173182322735898,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,31,32,32,4755,0,0,4755,0,4290,0,0,4290,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,"P0",496,496,496,496,496,496,496,496,496,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"689",688,"P0_0688",24,"innovation",0.42682447710908,"True","False",1,0.25,0.25,0.25,"per_family",1,29,37,0.783783783783784,24,42,38,7296,232,0,7528,232,1412,136,0,1548,136,38,0,0,0,0,0,0,0,38,0,0,21,21,0,0,21,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,"P0",703,682,703,703,703,703,682,703,703,703,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"690",689,"P0_0689",35,"innovation",0.32318877633327,"True","False",1,0.25,0.25,0.25,"per_family",1,11,65,0.169230769230769,35,42,34,5305,298,0,5603,298,5872,24,0,5896,24,34,0,0,24,24,0,0,24,34,0,0,19,19,0,0,19,34,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,"P0",537,542,561,561,561,537,542,561,561,561,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"691",690,"P0_0690",23,"innovation",0.271473100445891,"True","False",1,0.25,0.25,0.25,"per_family",1,21,42,0.5,23,24,23,1234,21,0,1255,21,1024,210,0,1234,210,23,0,0,0,0,0,0,0,23,0,0,13,13,0,0,13,23,0,10,0,0,0,10,0,23,1,6,6,7,1,6,6,23,0,0,3,3,0,0,3,"P0",253,240,243,240,250,253,240,243,240,250,NA,1,0,0.5,1,NA,1,0,0.5,1,NA,1,NA,0.857142857142857,1,NA,1,NA,0.857142857142857,1,1,1,0.960474308300395,0.972332015810277,1,1,1,0.960474308300395,0.972332015810277,1
"692",691,"P0_0691",39,"innovation",0.393372489213886,"True","False",1,0.25,0.25,0.25,"per_family",1,0,70,0,39,40,37,6965,0,0,6965,0,7763,0,0,7763,0,37,0,48,0,0,0,48,0,37,0,32,0,0,0,32,0,37,0,12,0,0,0,12,0,37,0,0,0,0,0,0,0,37,0,6,0,0,0,6,0,"P0",618,634,654,666,660,618,634,654,666,660,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.927927927927928,0.951951951951952,0.981981981981982,1,0.990990990990991,0.927927927927928,0.951951951951952,0.981981981981982,1,0.990990990990991
"693",692,"P0_0692",14,"innovation",0.014025122155273,"True","False",1,0.25,0.25,0.25,"per_family",1,1,6,0.166666666666667,14,8,7,30,5,0,35,5,364,0,0,364,0,7,0,0,5,5,0,0,5,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,"P0",16,21,21,21,21,16,21,21,21,21,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"694",693,"P0_0693",29,"innovation",0.163329705909448,"True","False",1,0.25,0.25,0.25,"per_family",1,1,31,0.032258064516129,29,34,32,4928,30,0,4958,30,3652,0,0,3652,0,32,0,20,0,0,0,20,0,32,0,0,17,17,0,0,17,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,"P0",476,479,496,496,496,476,479,496,496,496,0,1,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0.959677419354839,1,1,1,1,0.959677419354839,1,1,1,1
"695",694,"P0_0694",15,"innovation",0.041684795237529,"True","False",1,0.25,0.25,0.25,"per_family",1,4,17,0.235294117647059,15,20,18,764,52,0,816,52,449,6,0,455,6,18,0,0,11,11,0,0,11,18,0,0,10,10,0,0,10,18,10,5,2,12,0,0,7,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,"P0",142,143,146,153,153,142,143,136,153,153,1,1,1,NA,NA,1,1,0.285714285714286,NA,NA,1,1,1,NA,NA,1,1,0.166666666666667,NA,NA,1,1,1,1,1,1,1,0.901960784313726,1,1
"696",695,"P0_0695",22,"innovation",0.36274722392155,"True","False",1,0.25,0.25,0.25,"per_family",1,0,4,0,22,10,5,10,0,0,10,0,1458,0,0,1458,0,5,0,3,0,0,0,3,0,5,0,2,0,0,0,2,0,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,"P0",7,8,9,10,10,7,8,9,10,10,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.9,1,1,0.7,0.8,0.9,1,1
"697",696,"P0_0696",32,"innovation",0.365766011490071,"True","False",1,0.25,0.25,0.25,"per_family",1,13,324,0.0401234567901235,32,43,37,7204,323,0,7527,323,4171,55,0,4226,55,37,16,144,9,25,16,144,9,37,11,95,8,19,11,95,8,37,11,55,22,33,11,56,21,37,0,30,0,0,0,30,0,37,0,9,0,0,0,9,0,"P0",497,552,578,636,657,497,552,578,636,657,0.0588235294117647,0.0776699029126214,0.272727272727273,0,0,0.0588235294117647,0.0776699029126214,0.285714285714286,0,0,0.36,0.421052631578947,0.65625,NA,NA,0.36,0.421052631578947,0.666666666666667,NA,NA,0.75975975975976,0.840840840840841,0.899399399399399,0.954954954954955,0.986486486486487,0.75975975975976,0.840840840840841,0.900900900900901,0.954954954954955,0.986486486486487
"698",697,"P0_0697",38,"innovation",0.488683666140103,"True","False",1,0.25,0.25,0.25,"per_family",1,32,39,0.82051282051282,38,44,40,9314,224,0,9538,224,7633,465,0,8098,465,40,0,0,0,0,0,0,0,40,0,0,20,20,0,0,20,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,"P0",780,760,780,780,780,780,760,780,780,780,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"699",698,"P0_0698",17,"innovation",0.242370812738724,"True","False",1,0.25,0.25,0.25,"per_family",1,9,9,1,17,9,6,20,0,0,20,0,575,2,0,577,2,6,0,0,5,5,0,0,5,6,0,0,1,1,0,0,1,6,0,0,2,2,0,0,2,6,0,0,1,1,0,0,1,6,0,0,0,0,0,0,0,"P0",10,14,13,14,15,10,14,13,14,15,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"700",699,"P0_0699",19,"innovation",0.079639757667211,"True","False",1,0.25,0.25,0.25,"per_family",1,13,18,0.722222222222222,19,20,19,901,65,0,966,65,888,78,0,966,78,19,0,0,0,0,0,0,0,19,0,0,10,10,0,0,10,19,0,0,0,0,0,0,0,19,0,0,5,5,0,0,5,19,0,0,0,0,0,0,0,"P0",171,161,171,166,171,171,161,171,166,171,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1
"701",700,"P0_0700",26,"innovation",0.228520071329702,"True","False",1,0.25,0.25,0.25,"per_family",1,66,108,0.611111111111111,26,32,30,3626,294,0,3920,294,2153,256,0,2409,256,30,0,0,28,28,0,0,28,30,42,14,21,63,0,0,35,30,20,20,18,38,20,20,18,30,0,0,17,17,0,0,17,30,4,2,2,6,0,0,4,"P0",407,400,377,418,431,407,358,377,418,427,1,1,0.473684210526316,1,1,1,0.6,0.473684210526316,1,0.5,1,1,0.473684210526316,1,1,1,0.333333333333333,0.473684210526316,1,0.333333333333333,1,1,0.908045977011494,1,1,1,0.871264367816092,0.908045977011494,1,0.986206896551724
"702",701,"P0_0701",45,"innovation",0.097588721313147,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,45,46,46,14456,0,0,14456,0,13486,0,0,13486,0,46,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,"P0",1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"703",702,"P0_0702",19,"innovation",0.12935819225027,"True","False",1,0.25,0.25,0.25,"per_family",1,5,18,0.277777777777778,19,21,19,892,65,0,957,65,947,10,0,957,10,19,27,9,3,30,0,0,12,19,0,0,0,0,0,0,0,19,8,8,1,9,0,0,9,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,"P0",159,171,162,171,171,132,171,154,171,171,1,NA,1,NA,NA,0.25,NA,0.111111111111111,NA,NA,1,NA,1,NA,NA,0.1,NA,0.111111111111111,NA,NA,1,1,1,1,1,0.789473684210526,1,0.906432748538012,1,1
"704",703,"P0_0703",46,"innovation",0.48321551326215,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,46,58,56,24825,0,0,24825,0,12648,0,0,12648,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,"P0",1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"705",704,"P0_0704",48,"innovation",0.482496013911005,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,48,52,51,17697,0,0,17697,0,15134,0,0,15134,0,51,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,"P0",1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"706",705,"P0_0705",37,"innovation",0.487156961631412,"True","False",1,0.25,0.25,0.25,"per_family",1,36,91,0.395604395604396,37,49,47,11791,616,0,12407,616,5650,326,0,5976,326,47,78,26,3,81,0,0,29,47,66,22,29,95,0,1,50,47,0,0,0,0,0,0,0,47,0,0,12,12,0,0,12,47,0,0,0,0,0,0,0,"P0",1052,1030,1081,1069,1081,974,964,1081,1069,1081,1,0.980392156862745,NA,1,NA,0.103448275862069,0.568627450980392,NA,1,NA,1,1,NA,1,NA,0.037037037037037,0.305263157894737,NA,1,NA,1,0.999074930619796,1,1,1,0.903792784458834,0.918593894542091,1,1,1
"707",706,"P0_0706",33,"innovation",0.150409913795906,"True","False",1,0.25,0.25,0.25,"per_family",1,44,47,0.936170212765957,33,49,48,13889,132,0,14021,132,4068,406,0,4474,406,48,0,0,33,33,0,0,33,48,0,0,29,29,0,0,29,48,0,0,23,23,0,0,23,48,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,"P0",1095,1099,1105,1128,1128,1095,1099,1105,1128,1128,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1
"708",707,"P0_0707",46,"innovation",0.491294926108067,"True","False",1,0.25,0.25,0.25,"per_family",1,375,722,0.519390581717452,46,77,64,30358,9740,0,40098,9740,11818,1186,0,13004,1186,64,0,8,308,308,0,20,296,64,0,2,203,203,0,8,197,64,0,2,131,131,0,8,125,64,0,4,72,72,0,4,72,64,8,5,34,42,8,13,26,"P0",1700,1811,1883,1940,1969,1700,1811,1883,1940,1969,0.936708860759494,0.960975609756098,0.93984962406015,0.947368421052632,0.666666666666667,0.974683544303797,0.990243902439024,0.984962406015038,0.947368421052632,0.871794871794872,1,1,1,1,0.764705882352941,1,1,1,1,0.80952380952381,0.990079365079365,0.996031746031746,0.996031746031746,0.998015873015873,0.989583333333333,0.996031746031746,0.999007936507937,0.999007936507937,0.998015873015873,0.993551587301587
"709",708,"P0_0708",15,"innovation",0.323562316381974,"True","False",1,0.25,0.25,0.25,"per_family",1,19,53,0.358490566037736,15,20,16,274,160,0,434,160,273,50,0,323,50,16,0,0,8,8,0,0,8,16,0,0,20,20,5,11,9,16,0,0,0,0,0,0,0,16,0,0,4,4,0,0,4,16,1,1,1,2,1,1,1,"P0",112,95,120,116,117,112,100,120,116,117,1,0.45,NA,1,0.5,1,1,NA,1,0.5,1,0.642857142857143,NA,1,0.5,1,1,NA,1,0.5,1,0.866666666666667,1,1,0.983333333333333,1,1,1,1,0.983333333333333
"710",709,"P0_0709",11,"innovation",0.414063619666247,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,11,12,12,185,0,0,185,0,145,0,0,145,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,"P0",66,66,66,66,66,66,66,66,66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"711",710,"P0_0710",42,"innovation",0.210309213346587,"True","False",1,0.25,0.25,0.25,"per_family",1,12,84,0.142857142857143,42,46,44,12649,432,0,13081,432,11235,25,0,11260,25,44,24,24,1,25,24,24,1,44,38,38,4,42,38,38,4,44,0,0,0,0,0,0,0,44,28,14,2,30,0,0,16,44,0,0,0,0,0,0,0,"P0",897,866,946,930,946,897,866,946,902,946,0.04,0.0952380952380952,NA,1,NA,0.04,0.0952380952380952,NA,0.125,NA,0.04,0.0952380952380952,NA,1,NA,0.04,0.0952380952380952,NA,0.0666666666666667,NA,0.949260042283298,0.919661733615222,1,1,1,0.949260042283298,0.919661733615222,1,0.955602536997886,1
"712",711,"P0_0711",45,"innovation",0.332786536971197,"True","False",1,0.25,0.25,0.25,"per_family",1,22,68,0.323529411764706,45,19,17,457,220,0,677,220,12500,25,0,12525,25,17,8,4,25,33,0,2,27,17,0,0,7,7,0,0,7,17,0,0,11,11,0,1,10,17,2,2,5,7,2,3,4,17,1,1,1,2,1,1,1,"P0",107,129,125,127,133,99,129,125,127,133,0.931034482758621,1,0.909090909090909,0.571428571428571,0.5,0.862068965517241,1,1,0.714285714285714,0.5,1,1,1,0.666666666666667,0.5,0.757575757575758,1,1,0.714285714285714,0.5,0.985294117647059,1,0.992647058823529,0.963235294117647,0.985294117647059,0.911764705882353,1,1,0.970588235294118,0.985294117647059
"713",712,"P0_0712",44,"innovation",0.37841606453699,"True","False",1,0.25,0.25,0.25,"per_family",1,38,117,0.324786324786325,44,45,41,9456,221,0,9677,221,11891,629,0,12520,629,41,0,0,72,72,22,23,49,41,0,18,39,39,0,18,39,41,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,41,0,0,7,7,0,0,7,"P0",726,763,820,820,813,748,763,820,820,813,0.680555555555556,0.684210526315789,NA,NA,1,1,0.684210526315789,NA,NA,1,0.690140845070423,1,NA,NA,1,1,1,NA,NA,1,0.945121951219512,0.978048780487805,1,1,1,1,0.978048780487805,1,1,1
"714",713,"P0_0713",27,"innovation",0.363994047592026,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,27,57,56,27314,0,0,27314,0,2722,0,0,2722,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,"P0",1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"715",714,"P0_0714",32,"innovation",0.033245493572997,"True","False",1,0.25,0.25,0.25,"per_family",1,22,115,0.191304347826087,32,34,32,4471,489,0,4960,489,4879,81,0,4960,81,32,60,41,30,90,0,17,54,32,45,30,6,51,0,0,36,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,"P0",425,460,496,496,496,365,415,496,496,496,0.76056338028169,1,NA,NA,NA,0.422535211267606,0.166666666666667,NA,NA,NA,1,1,NA,NA,NA,0.333333333333333,0.117647058823529,NA,NA,NA,0.965725806451613,1,1,1,1,0.796370967741935,0.848790322580645,1,1,1
"716",715,"P0_0715",21,"innovation",0.123935748887204,"True","False",1,0.25,0.25,0.25,"per_family",1,6,20,0.3,21,22,21,1236,84,0,1320,84,1305,15,0,1320,15,21,0,0,12,12,0,0,12,21,0,0,13,13,0,0,13,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,"P0",198,197,210,210,210,198,197,210,210,210,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"717",716,"P0_0716",33,"innovation",0.302107268604508,"True","False",1,0.25,0.25,0.25,"per_family",1,60,159,0.377358490566038,33,41,35,4910,1179,0,6089,1179,4426,330,0,4756,330,35,0,0,82,82,0,3,79,35,0,0,45,45,0,1,44,35,0,0,53,53,0,2,51,35,0,0,17,17,0,1,16,35,3,1,8,11,3,4,5,"P0",513,550,542,578,583,513,550,542,578,583,0.963414634146341,0.977777777777778,0.962264150943396,0.941176470588235,0.555555555555556,1,1,1,1,0.888888888888889,1,1,1,1,0.625,1,1,1,1,0.727272727272727,0.994957983193277,0.998319327731092,0.996638655462185,0.998319327731092,0.988235294117647,1,1,1,1,0.99327731092437
"718",717,"P0_0717",32,"innovation",0.136895025662504,"True","False",1,0.25,0.25,0.25,"per_family",1,62,62,1,32,34,33,5446,0,0,5446,0,4485,465,0,4950,465,33,0,0,36,36,0,0,36,33,0,0,18,18,0,0,18,33,0,0,14,14,0,0,14,33,0,0,8,8,0,0,8,33,0,0,0,0,0,0,0,"P0",492,510,514,520,528,492,510,514,520,528,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
