"","Group","precision_rs_mean_100","precision_rs_mean_80","precision_rs_mean_60","precision_rs_mean_40","precision_rs_mean_20"
"1","P0",0.829024669772556,0.833749869467351,0.843214483922399,0.862652988025679,0.851871147484988
"2","P1",0.849161533634262,0.849060329655819,0.861844415114962,0.875003934492772,0.8934165800958
"3","P2",0.906876977218115,0.8924865078262,0.910678308915477,0.910683508871735,0.926562188444143
"4","P3",0.923197595308841,0.931332802106321,0.933539952407828,0.940667064888899,0.949043230137492
"5","P4",0.85797111774784,0.840451159127486,0.856470152457524,0.843075156104499,0.899121996469438
"6","P5",0.907872698545233,0.911007052887016,0.913776103705454,0.917886773295178,0.920389254714107
"7","P6",0.936089951054341,0.931753252258139,0.936840223666272,0.935016632340207,0.954113617641435
